date,category,Exports_US$,volume,unit_price
11/1/2021,Bedwear,315076000,52924,6.956395028
11/1/2021,Towels,105283000,21741,4.95
11/1/2021,"Tents, Tarpaulines",11973000,4457,2.69
11/1/2021,Garments,326646000,4170000,78.3
11/1/2021,Artificial Silk & Synthetics,41095000,10825,3.8
11/1/2021,Madeups,84409000,0,
11/1/2021,Other Textiles,72578000,,
12/1/2021,Raw Cotton,1763000,721,
12/1/2021,Cotton Yarn,106529000,28658,3.717251727
12/1/2021,Cotton Cloth,189086000,33991,5.562825454
12/1/2021,Cotton Crd/Cmd,6000,5,
12/1/2021,Non-Cotton Yarn,5200000,1781,2.92
12/1/2021,Knitwear,439550000,12045000,36.49
12/1/2021,Bedwear,253454000,39477,6.420295362
12/1/2021,Towels,95619000,18962,5.04
12/1/2021,"Tents, Tarpaulines",13959000,4954,2.82
12/1/2021,Garments,346580000,4075000,85.1
12/1/2021,Artificial Silk & Synthetics,40432000,9332,4.33
12/1/2021,Madeups,69263000,0,
12/1/2021,Other Textiles,61985000,,
1/1/2022,Raw Cotton,3470000,1473,2.3557
1/1/2022,Cotton Yarn,77430000,19393,3.9927
1/1/2022,Cotton Cloth,216887000,36848,5.886
1/1/2022,Cotton Crd/Cmd,0,0,
1/1/2022,Non-Cotton Yarn,5751000,1785,3.2218
1/1/2022,Knitwear,387575000,11546000,33.5679
1/1/2022,Bedwear,264376000,37042,7.1372
1/1/2022,Towels,91068000,17222,5.2879
1/1/2022,"Tents, Tarpaulines",8597000,2729,3.1502
1/1/2022,Garments,330788000,4325000,76.4828
1/1/2022,Artificial Silk & Synthetics,37672000,7598,4.9581
1/1/2022,Madeups,68835000,0,
1/1/2022,Other Textiles,59441000,,
2/1/2022,Raw Cotton,1336000,559,2.39
2/1/2022,Cotton Yarn,127518000,33202,3.8407
2/1/2022,Cotton Cloth,232531000,37815,6.1492
2/1/2022,Cotton Crd/Cmd,0,0,
2/1/2022,Non-Cotton Yarn,7770000,2187,3.5528
2/1/2022,Knitwear,414381000,20616000,20.1
2/1/2022,Bedwear,262397000,37349,7.0255
2/1/2022,Towels,100759000,18708,5.3859
2/1/2022,"Tents, Tarpaulines",6631000,2130,3.1131
2/1/2022,Garments,354144000,4100000,86.3766
2/1/2022,Artificial Silk & Synthetics,43314000,8536,5.0743
2/1/2022,Madeups,65018000,,
2/1/2022,Other Textiles,58986000,,
3/1/2022,Raw Cotton,0,0,
3/1/2022,Cotton Yarn,92385000,22804,4.05
3/1/2022,Cotton Cloth,210070000,33952,6.19
